AMTH106,30635,"Differential Equations",Metwally,"Magda M",AMTH
AMTH106,30636,"Differential Equations",Metwally,"Magda M",AMTH
AMTH106,30638,"Differential Equations",Metwally,"Magda M",AMTH
AMTH106,30639,"Differential Equations",Melman,Aaron,AMTH
AMTH106,32109,"Differential Equations",Melman,Aaron,AMTH
AMTH108,30637,"Probability & Statistics",,AMTH
AMTH108,30641,"Probability & Statistics",Kleinhenz,"Robert J",AMTH
AMTH108,32371,"Probability & Statistics",Kleinhenz,"Robert J",AMTH
AMTH108H,30640,"Probability & Statistics:Honor",Kleinhenz,"Robert J",AMTH
AMTH112,32276,"Risk Analysis in Civil Engr",Chiappari,"Stephen A",AMTH
BIOE22,30729,"Introduction to Cell and Molec",Lu,Biao,BIOE
BIOE22L,30730,"Intro to Cell & Molec Bioe Lab",Lu,Biao,BIOE
BIOE22L,30732,"Intro to Cell & Molec Bioe Lab",Lu,Biao,BIOE
BIOE100,30731,"Bioengineering Research Semina",Noriega,"Gerardo V",BIOE
BIOE107,30724,"Medical Device Prod Devlopment",Davison,"Paul Owen",BIOE
BIOE108,30734,"Biomedical Devices: Role of Po",Manickam,"Sathish Kumar",BIOE
BIOE115,32592,"Fundamentals of Cell Culture",Asuri,Prashanth,BIOE
BIOE115L,32593,"Fundamentals of Cell Culture L",Asuri,Prashanth,BIOE
BIOE115L,32594,"Fundamentals of Cell Culture L",Asuri,Prashanth,BIOE
BIOE140,32279,"Biomaterials Engr. and Charact",Mobed-Miremadi,Maryam,BIOE
BIOE140L,32280,"Biomaterials Engr &Charact Lab",Mobed-Miremadi,Maryam,BIOE
BIOE155,30722,"Biological Transport Phenomena",Kim,Unyoung,BIOE
BIOE157,30727,"Introduction to Biofuel Engr",Mobed-Miremadi,Maryam,BIOE
BIOE167,32595,"Medical Imaging Systems",Wood,"Sally L",BIOE
BIOE174,32283,"Microfabrication & Microfluid",Araci,"Ismail Emre",BIOE
